gwcode,year,NY.GDP.MKTP.KD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,NY.GDP.PCAP.KD.ZG
520,1997,1681117593.97004,1.1804918463686354,214.852351289061,-2.311597909092507
522,1997,683492299.0966716,4.6037603132923115,1017.3779323948418,0.949497135163119
530,1997,15493081576.9196,3.1339068517802895,252.31166873633615,-0.11927896253755269
531,1997,1926233510.02823,7.908684577940426,895.0339813929984,6.721838440627851
540,1997,31913924371.2602,7.274277354603704,2176.877654108314,3.692913687565101
541,1997,4189780379.08586,11.814945944758804,247.18494562919653,8.796915518554277
551,1997,7440753543.99756,3.814007497183457,805.5324454064871,1.195247476894002
552,1997,20164466643.9014,2.6805463225920216,1773.506822676193,0.7707856186810899
553,1997,4355921668.87641,3.792419093548975,412.4131068374995,1.7306546732483608
560,1997,206736055498.991,2.600000001463722,4527.049924038774,1.3781958555144076
565,1997,6708131135.138852,4.220100380216584,3971.0389380572374,1.5573189181118603
570,1997,1371424437.09695,3.7036034360748404,689.8060449738838,2.884044047399092
571,1997,7558959721.65963,8.325890883965855,4809.442388445588,5.859993752689716
572,1997,2202213674.90434,3.1028050901039994,2187.6982967056974,1.382760627830523
580,1997,6765402319.37305,3.6934926169178546,451.3032144234901,0.37256188875107227
581,1997,606689356.366569,4.410425625907174,1194.7936967797293,2.6275766509340213
590,1997,5788966840.71157,5.687477418866179,4888.097756360892,4.6241313644850495
591,1997,872533006.069359,12.193641751410928,10954.520135709869,11.11115245522372
600,1997,50199902853.4782,-1.560702345507863,1844.680160080265,-3.0265463678297535
615,1997,97536740345.5047,1.099999936842464,3297.466089352069,-0.7670652280521442
616,1997,24038846665.354,5.440943501074884,2551.5506870230174,4.02140384441634
620,1997,57153327139.4503,5.212671021369765,11284.778073906216,3.6079647460129842
625,1997,32884421186.4108,18.31265718502738,1050.3199191979088,15.58996022936803
630,1997,234147751320.933,1.3503992743004072,3679.275349129626,0.1426942625265489
640,1997,391585682738.779,7.3578623747848555,6230.186221264069,5.817460774324059
645,1997,54972294638.1217,21.237936128860984,2478.843048555753,17.546269795814467
651,1997,150869114035.753,5.4923547430295345,2204.6657433147266,3.3284637462758977
652,1997,20031990206.4395,5.023804508110652,1299.2985235123886,2.3028456766295293
